DBNOs,assists,boosts,damageDealt,deathType,headshotKills,heals,killPlace,killStreaks,kills,longestKill,name,playerId,revives,rideDistance,roadKills,swimDistance,teamKills,timeSurvived,vehicleDestroys,walkDistance,weaponsAcquired,winPlace,id
0,0,3,69.78068,byplayer,0,0,22,1,1,11.70578,AAA_Gems,account.f157769d426b4481aef391abfde94f63,0,3886.185,0,0.0,0,1308,0,1617.7655,5,8,c4d49358-7ee6-4b71-b1b8-8b94d03ad7bb
1,2,1,78.021935,byplayer,0,4,50,0,0,0.0,BRU_Conaxy,account.4b54a2259d454d50a800ee4248a18fd2,3,6203.73,0,0.0,0,1486,0,974.5786,6,10,8816b390-857c-4508-99d1-213c7d1a9c20
1,1,0,82.93058,byplayer,0,1,52,0,0,0.0,BRU_Eaddy,account.e1c31aaef15d476e851c1118ea00cb4d,0,6951.417,0,0.0,0,1365,0,703.544,4,10,f8973e50-4a5c-4936-8777-3c291c077e6c
0,0,3,297.00244,byplayer,0,6,16,1,1,365.43933,FURY_Ronon,account.17cfc55c4428413e841ef3b41dcb5ccb,0,3381.4126,0,0.0,0,1855,0,1306.8871,6,4,b6b7e16b-3939-423e-b6b0-e5d384c17d0d
1,0,3,540.821,byplayer,0,1,7,3,3,101.34601,FURY_Fludd,account.5a732d0cc7464aea92eb1e2ae8073998,0,3545.346,0,0.0,0,1805,0,1488.3744,3,4,d307c734-4172-4ed1-abd1-b809b81e8f1b
1,0,2,127.87946,suicide,0,3,28,1,1,8.162742,DNW_LeClo,account.e04c4433a4e14194b51728d152965c68,1,0.0,0,0.0,0,876,0,347.26474,2,12,7dad45a4-cc40-4c42-9ed8-076e65dc761e
0,0,1,0.0,byplayer,0,0,48,0,0,0.0,AAP_AljnBOTz,account.6359ba7e82d34f2b85dbcfc61e9ccf59,0,8852.947,0,0.0,0,1138,0,1354.8536,4,9,0b7a7c37-5a6f-45ad-992b-21e045795ae0
0,0,2,40.949997,byplayer,0,0,60,0,0,0.0,VP_Perfect1ks,account.71f30d7f01be404da060652f46f31340,0,0.0,0,0.0,0,794,0,633.799,9,15,ebec7673-ea8c-4fae-86da-b5cfc51f235f
0,0,2,231.5703,byplayer,0,2,13,2,2,158.46031,HERO_Beami,account.925cbe0a2f794fbcb27728a6ec5ac26b,0,9435.639,0,0.0,0,1238,0,838.44635,4,13,84999748-3d2f-460b-a23b-636f621af923
2,1,4,238.40115,byplayer,0,3,40,0,0,0.0,KX_Yuren,account.06509a78c5f841e98d0900cd693b71e1,1,4951.0186,0,0.0,0,1602,0,1042.6389,6,5,1ec8fbc5-1760-4b3e-8c13-771b1b23010b
